solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
water,1,TTI,0.6,40,1,345.96,720.39,1165.18,1.14,1.87,0.99871,1.001,7.78,769,
water,1,TTI,0.6,40,2,344.53,714.34,1164.76,1.15,1.9,0.99872,1,7.81,771,
water,1,TTI,0.6,40,3,341.94,714.9,1169.26,1.16,1.83,0.99872,1,7.77,774,
water,1,AI80,0.3,50,1,324.18,638.99,971.21,1.01,2.46,0.99871,1.001,7.78,769,
water,1,AI80,0.3,50,2,325.93,642.51,975.11,1.01,2.36,0.99872,1,7.81,771,
water,1,AI80,0.3,50,3,328.15,644.78,976.68,1.01,2.34,0.99872,1,7.77,774,
water,1,AI110,0.3,50,1,291.42,564.83,844.9,0.98,3.4,0.99871,1.001,7.78,769,
water,1,AI110,0.3,50,2,288.39,561.12,846.55,0.99,3.5,0.99872,1,7.81,771,
water,1,AI110,0.3,50,3,287.31,561.84,846.75,1,3.59,0.99872,1,7.77,774,
water,1,AI80,0.5,50,1,336.23,665.2,1000.1,1,2.24,0.99871,1.001,7.78,769,
water,1,AI80,0.5,50,2,329.95,659.24,995.27,1.01,2.45,0.99872,1,7.81,771,
water,1,AI80,0.5,50,3,329.2,658.94,998.95,1.02,2.45,0.99872,1,7.77,774,
water,1,TADFD,0.3,50,1,338.53,653.66,977.14,0.98,2.19,0.99871,1.001,7.78,769,
water,1,TADFD,0.3,50,2,335.3,654.14,980.93,0.99,2.3,0.99872,1,7.81,771,
water,1,TADFD,0.3,50,3,330.89,648.03,968.14,0.98,2.42,0.99872,1,7.77,774,
water,1,TADFD,0.6,50,1,363.52,697.43,1071.45,1.02,1.64,0.99871,1.001,7.78,769,
water,1,TADFD,0.6,50,2,362.15,696.45,1077.57,1.03,1.71,0.99872,1,7.81,771,
water,1,TADFD,0.6,50,3,363.32,686.11,1008.69,0.94,1.6,0.99872,1,7.77,774,
water,1,TDXLD,0.3,50,1,353.71,678.68,997.66,0.95,1.75,0.99871,1.001,7.78,769,
water,1,TDXLD,0.3,50,2,359.8,687.6,994.22,0.92,1.69,0.99872,1,7.81,771,
water,1,TDXLD,0.3,50,3,360.69,686.77,1018.32,0.96,1.65,0.99872,1,7.77,774,
water,1,TDXLD,0.4,50,1,374.21,703.96,1029.64,0.93,1.4,0.99871,1.001,7.78,769,
water,1,TDXLD,0.4,50,2,373.31,703.01,1021.84,0.92,1.48,0.99872,1,7.81,771,
water,1,TDXLD,0.4,50,3,372.98,703.68,1021.87,0.92,1.48,0.99872,1,7.77,774,
water,1,TDXLD,0.5,50,1,418.43,781.18,1176.46,0.97,0.99,0.99871,1.001,7.78,769,
water,1,TDXLD,0.5,50,2,422.54,786.15,1190.03,0.98,0.87,0.99872,1,7.81,771,
water,1,TDXLD,0.5,50,3,422.81,788.98,1195.23,0.98,0.87,0.99872,1,7.77,774,
water,1,TDXLD,0.6,50,1,467.73,874.49,1282.79,0.93,0.66,0.99871,1.001,7.78,769,
water,1,TDXLD,0.6,50,2,468.68,866.89,1273.21,0.93,0.59,0.99872,1,7.81,771,
water,1,TDXLD,0.6,50,3,468.91,872,1290.91,0.94,0.59,0.99872,1,7.77,774,
water,1,ULD,0.4,50,1,323.12,617.89,945.69,1.01,2.3,0.99871,1.001,7.78,769,
water,1,ULD,0.4,50,2,323.68,614.11,933.11,0.99,2.13,0.99872,1,7.81,771,
water,1,ULD,0.4,50,3,327.2,618.57,945.46,1,2.04,0.99872,1,7.77,774,
