trt,rep,nozzle.spacing,boom.height,pressure,nozzle,solution.name,density,viscosity,surface.tension,cv
93,3,20,24,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,10.88944497
94,1,20,30,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,16.24235143
94,2,20,30,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,6.823582235
94,3,20,30,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,8.268052465
95,1,30,24,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,16.83452517
95,2,30,24,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,13.12296661
95,3,30,24,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,13.11440533
96,1,30,30,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,10.29742819
96,2,30,30,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,11.4929748
96,3,30,30,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,11.45227839
